In file: TimeRangeTest.java
Input operator: REACHABILITY
mutation-179: Activity.setName
mutation-180: Activity.getTotal
mutation-181: Activity.getTotal
mutation-182: Activity.setCollapsed
mutation-183: Activity.getCollapsed
mutation-184: Activity.start
mutation-185: Activity.start
mutation-186: Activity.stop
mutation-187: Activity.stop
mutation-188: Activity.getStartTime
mutation-189: Activity.setStartTime
mutation-190: Activity.getEndTime
mutation-191: Activity.setEndTime
mutation-192: Activity.hashCode
mutation-193: Activity.equals
mutation-194: Activity.equals
mutation-195: Activity.equals
mutation-196: Activity.equals
mutation-197: Activity.compareTo
mutation-198: Activity.isRunning
In file: DBBackup.java
Input operator: REACHABILITY
mutation-199: DBBackup.DBBackup
mutation-200: DBBackup.doInBackground
mutation-201: DBBackup.doInBackground
mutation-202: DBBackup.doInBackground
mutation-203: DBBackup.doInBackground
mutation-204: DBBackup.doInBackground
mutation-205: DBBackup.doInBackground
mutation-206: DBBackup.onPostExecute
mutation-207: DBBackup.onProgressUpdate
mutation-208: DBBackup.onProgressUpdate
mutation-209: DBBackup.onProgressUpdate
mutation-210: DBBackup.onProgressUpdate
mutation-211: DBBackup.onProgressUpdate
mutation-212: DBBackup.onCancelled
mutation-213: DBBackup.copyTimes
mutation-214: DBBackup.copyTimes
mutation-215: DBBackup.copyTimes
mutation-216: DBBackup.copyTimes
mutation-217: DBBackup.copyTimes
mutation-218: DBBackup.copyTimes
mutation-219: DBBackup.copyTimes
mutation-220: DBBackup.copyTimes
mutation-221: DBBackup.copyTimes
mutation-222: DBBackup.copyTimes
mutation-223: DBBackup.copyActivity
mutation-224: DBBackup.copyActivity
mutation-225: DBBackup.readActivities
mutation-226: DBBackup.readActivities
mutation-227: DBBackup.readActivities
In file: TimeRange.java
Input operator: REACHABILITY
mutation-228: TimeRange.TimeRange
mutation-229: TimeRange.getStart
mutation-230: TimeRange.setStart
mutation-231: TimeRange.getEnd
mutation-232: TimeRange.setEnd
mutation-233: TimeRange.getTotal
mutation-234: TimeRange.getTotal
mutation-235: TimeRange.toString
mutation-236: TimeRange.toString
mutation-237: TimeRange.toString
mutation-238: TimeRange.format
mutation-239: TimeRange.format
mutation-240: TimeRange.format
mutation-241: TimeRange.compareTo
mutation-242: TimeRange.compareTo
mutation-243: TimeRange.compareTo
mutation-244: TimeRange.compareTo
mutation-245: TimeRange.compareTo
mutation-246: TimeRange.compareTo
mutation-247: TimeRange.compareTo
mutation-248: TimeRange.compareTo
mutation-249: TimeRange.compareTo
mutation-250: TimeRange.equals
mutation-251: TimeRange.equals
mutation-252: TimeRange.equals
mutation-253: TimeRange.hashCode
mutation-254: TimeRange.overlap
mutation-255: TimeRange.overlap
mutation-256: TimeRange.overlap
In file: EditTime.java
Input operator: REACHABILITY
mutation-257: EditTime.onCreate
mutation-258: EditTime.onCreate
mutation-259: EditTime.onCreate
mutation-260: EditTime.onCreate
mutation-261: EditTime.onResume
mutation-262: EditTime.onResume
mutation-263: EditTime.onResume
mutation-264: EditTime.onResume
mutation-265: EditTime.onResume
mutation-266: EditTime.onClick
mutation-267: EditTime.onClick
mutation-268: EditTime.onClick
mutation-269: EditTime.onCreateDialog
In file: ActivityTimes.java
Input operator: REACHABILITY
mutation-270: ActivityTimes.onCreate
mutation-271: ActivityTimes.onCreate
mutation-272: ActivityTimes.onCreate
mutation-273: ActivityTimes.onCreate
mutation-274: ActivityTimes.onCreate
mutation-275: ActivityTimes.onCreate
mutation-276: ActivityTimes.onStop
mutation-277: ActivityTimes.onResume
mutation-278: ActivityTimes.onCreateOptionsMenu
mutation-279: ActivityTimes.onOptionsItemSelected
mutation-280: ActivityTimes.onOptionsItemSelected
mutation-281: ActivityTimes.onCreateContextMenu
mutation-282: ActivityTimes.onContextItemSelected
mutation-283: ActivityTimes.onClick
mutation-284: ActivityTimes.onCreateDialog
mutation-285: TimesAdapter.TimesAdapter
mutation-286: TimesAdapter.areAllItemsEnabled
mutation-287: TimesAdapter.isEnabled
mutation-288: TimesAdapter.close
mutation-289: TimesAdapter.deleteTimeRange
mutation-290: TimesAdapter.deleteTimeRange
mutation-291: TimesAdapter.deleteTimeRange
mutation-292: TimesAdapter.deleteTimeRange
mutation-293: TimesAdapter.deleteTimeRange
mutation-294: TimesAdapter.loadTimes
mutation-295: TimesAdapter.loadTimes
mutation-296: TimesAdapter.loadTimes
mutation-297: TimesAdapter.loadTimes
mutation-298: TimesAdapter.loadTimes
mutation-299: TimesAdapter.getView
mutation-300: TimesAdapter.getView
mutation-301: TimesAdapter.getView
mutation-302: TimesAdapter.getView
mutation-303: TimesAdapter.getView
mutation-304: TimesAdapter.getView
mutation-305: TimesAdapter.getView
mutation-306: TimesAdapter.getCount
mutation-307: TimesAdapter.getItem
mutation-308: TimesAdapter.getItemId
mutation-309: TimesAdapter.assignTimeToActivityAt
mutation-310: TimesAdapter.assignTimeToActivityAt
mutation-311: TimesAdapter.assignTimeToActivityAt
mutation-312: TimesAdapter.assignTimeToActivityAt
mutation-313: TimesAdapter.assignTimeToActivityAt
mutation-314: TimesAdapter.assignTimeToActivityAt
mutation-315: TimesAdapter.assignTimeToActivityAt
mutation-316: TimeView.TimeView
mutation-317: TimeView.setTimeRange
mutation-318: TimesAdapter.clear
mutation-319: TimesAdapter.addTimeRange
mutation-320: TimesAdapter.insert
mutation-321: TimesAdapter.insert
mutation-322: TimesAdapter.insert
mutation-323: TimesAdapter.insert
mutation-324: TimesAdapter.insert
mutation-325: TimesAdapter.insert
mutation-326: TimesAdapter.startOfDay
mutation-327: TimesAdapter.addSeparators
mutation-328: TimesAdapter.addSeparators
mutation-329: TimesAdapter.addSeparators
mutation-330: TimesAdapter.updateTimeRange
mutation-331: TimesAdapter.updateTimeRange
mutation-332: TimesAdapter.updateTimeRange
mutation-333: TimesAdapter.updateTimeRange
mutation-334: TimesAdapter.updateTimeRange
mutation-335: TimesAdapter.getActivityNames
mutation-336: ActivityTimes.onActivityResult
mutation-337: ActivityTimes.onActivityResult
mutation-338: ActivityTimes.onListItemClick
mutation-339: ActivityTimes.onListItemClick
In file: DBHelper.java
Input operator: REACHABILITY
mutation-340: DBHelper.DBHelper
mutation-341: DBHelper.onCreate
mutation-342: DBHelper.onUpgrade
mutation-343: DBHelper.onUpgrade
mutation-344: DBHelper.onUpgrade
In file: CSVExporter.java
Input operator: REACHABILITY
mutation-345: CSVExporter.escape
mutation-346: CSVExporter.escape
mutation-347: CSVExporter.escape
mutation-348: CSVExporter.exportRows
mutation-349: CSVExporter.exportRows
mutation-350: CSVExporter.exportRows
mutation-351: CSVExporter.exportRows
mutation-352: CSVExporter.exportRows
mutation-353: CSVExporter.exportRows
mutation-354: CSVExporter.exportRows
