Type,Impact,Category,File,Function,Count
Resource leak,High,Resource leaks,/media/data/muse2/muse2repo_apk_mutation_reach_src/ProtectBabyMonitor/app/src/main/java/protect/babymonitor/ListenActivity.java,protect.babymonitor.ListenActivity$#2.run(),1
Android application supports unsafe SDK versions,Low,Low impact security,/media/data/muse2/muse2repo_apk_mutation_reach_src/ProtectBabyMonitor/app/src/main/AndroidManifest.xml,,1
Android application does not target the latest Android version,Low,Low impact security,/media/data/muse2/muse2repo_apk_mutation_reach_src/ProtectBabyMonitor/app/src/main/AndroidManifest.xml,,1
Android application allows backups,Low,Low impact security,/media/data/muse2/muse2repo_apk_mutation_reach_src/ProtectBabyMonitor/app/src/main/AndroidManifest.xml,,1
