Type,Impact,Category,File,Function,Count
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getCategory,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.handleGetForBrokerRootAndQueueSingletonPath,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/AbstractLegacyConfiguredObjectControllerTest.java,AbstractLegacyConfiguredObjectControllerTest.getRequestType,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerAdapterTest.java,LatestManagementControllerAdapterTest.mockManagementRequest,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getRequestTypeForGetAndModelObjectWithNotFullPath,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.handleGetForBrokerRootAndQueuePathWithoutQueueName,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getRequestTypeForGetAndModelObjectWithFullPath,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getRequestTypeForGetAndVisiblePreferences,1
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerAdapterTest.java,LatestManagementControllerAdapterTest.getCategory,1
Open redirect,Medium,Medium impact security,/src/main/java/org/apache/qpid/server/management/plugin/auth/AnonymousInteractiveAuthenticator.java,org.apache.qpid.server.management.plugin.HttpRequestInteractiveAuthenticator$AuthenticationHandler.handleAuthentication,1
Open redirect,Medium,Medium impact security,/src/main/java/org/apache/qpid/server/management/plugin/RewriteServlet.java,RewriteServlet.service,1
Misuse of typeof,Medium,Incorrect expression,/target/classes/resources/js/qpid/common/util.js,util.equals,1
Misuse of typeof,Medium,Incorrect expression,/target/classes/resources/js/qpid/common/util.js,util.equals,1
Misuse of typeof,Medium,Incorrect expression,/target/classes/resources/js/qpid/common/util.js,util.equals,1
Missing call to superclass,Medium,Class hierarchy inconsistencies,/src/main/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/ConsumerController.java,ConsumerController$LegacyConsumer.getParent,1
Ignoring number of bytes read,Medium,Error handling issues,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/RestServlet.java,RestServlet$ServletManagementRequest.parse,1
GC: Suspicious calls to generic collection methods,Medium,SpotBugs: Correctness,/src/main/java/org/apache/qpid/server/management/plugin/report/ReportRunner.java,org.apache.qpid.server.management.plugin.report.ReportRunner$#2.containsHeaders(java.util.Set),1
