Type,Impact,Category,File,Function,Count
WMI: Inefficient Map Iterator,Low,SpotBugs: Performance,/media/data/muse2/muse2repo_qpid_src/qpid-mutant20/broker-codegen/src/main/java/org/apache/qpid/server/model/ConfiguredObjectFactoryGenerator.java,ConfiguredObjectFactoryGenerator.processManagedOperation,1
WMI: Inefficient Map Iterator,Low,SpotBugs: Performance,/media/data/muse2/muse2repo_qpid_src/qpid-mutant20/broker-codegen/src/main/java/org/apache/qpid/server/plugin/PluggableProcessor.java,PluggableProcessor.generateServiceFiles,1
WMI: Inefficient Map Iterator,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/security/auth/manager/oauth2/OAuth2MockEndpoint.java,OAuth2MockEndpoint.handleRequest,1
Very weak password hashing,High,High impact security,/src/test/java/org/apache/qpid/server/security/auth/sasl/SaslUtil.java,SaslUtil.generateCramMD5HexClientResponse,1
Very weak password hashing,High,High impact security,/src/test/java/org/apache/qpid/server/security/auth/sasl/SaslUtil.java,SaslUtil.toMD5Hashed,1
UwF: Unwritten field,Medium,SpotBugs: Correctness,/src/test/java/org/apache/qpid/server/consumer/TestConsumerTarget.java,,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/virtualhost/SynchronousMessageStoreRecovererTest.java,SynchronousMessageStoreRecovererTest.testRecoveryOfMessageInstanceForNonExistingQueue,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/virtualhost/SynchronousMessageStoreRecovererTest.java,SynchronousMessageStoreRecovererTest.testRecoveryOfMessageInstanceForNonExistingMessage,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/database/Base64MD5PasswordFilePrincipalDatabaseTest.java,Base64MD5PasswordFilePrincipalDatabaseTest.testDeletePrincipal,2
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidMultipleTrustManagerWithTrustAndPeerStores,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testDeletePrincipal,2
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidMultipleTrustManagerWithPeerStore,2
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testVerifyPassword,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidPeersOnlyTrustManager,3
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/NonJavaTrustStoreTest.java,NonJavaTrustStoreTest.testUseOfExpiredTrustAnchorDenied,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/model/VirtualHostTest.java,VirtualHostTest.testUpdateDeniedByACL,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidMultipleTrustManagerWithRegularTrustStore,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/FileTrustStoreTest.java,FileTrustStoreTest.testUseOfExpiredTrustAnchorDenied,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/database/Base64MD5PasswordFilePrincipalDatabaseTest.java,Base64MD5PasswordFilePrincipalDatabaseTest.testVerifyPassword,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/virtualhostnode/AbstractStandardVirtualHostNodeTest.java,AbstractStandardVirtualHostNodeTest.testUpdateVHNDeniedByACL,1
Unchecked return value,Medium,Error handling issues,/src/test/java/org/apache/qpid/server/streams/CompositeInputStreamTest.java,CompositeInputStreamTest.testAvailable_MultipleStreams,4
Unchecked return value,Medium,Error handling issues,/src/test/java/org/apache/qpid/server/streams/CompositeInputStreamTest.java,CompositeInputStreamTest.testClose,1
Unchecked return value,Medium,Error handling issues,/src/test/java/org/apache/qpid/server/util/ByteBufferInputStreamTest.java,ByteBufferInputStreamTest.testSkip,1
SIC: Inner class could be made static,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/exchange/HeadersBindingTest.java,,1
SIC: Inner class could be made static,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/store/BrokerStoreUpgraderAndRecovererTest.java,,2
SIC: Inner class could be made static,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/queue/QueueMessageRecoveryTest.java,,1
SIC: Inner class could be made static,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/store/MessageStoreTestCase.java,,5
SIC: Inner class could be made static,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/model/testmodels/lifecycle/AbstractConfiguredObjectTest.java,,1
SIC: Inner class could be made static,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/virtualhost/SynchronousMessageStoreRecovererTest.java,,2
SIC: Inner class could be made static,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/model/preferences/UserPreferencesTest.java,,2
SBSC: String concatenation in loop using + operator,Low,SpotBugs: Performance,/media/data/muse2/muse2repo_qpid_src/qpid-mutant20/broker-codegen/src/main/java/org/apache/qpid/server/model/ConfiguredObjectFactoryGenerator.java,ConfiguredObjectFactoryGenerator.wrapByDoOnConfigThread,1
Risky cryptographic hashing function,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/sasl/SaslUtil.java,SaslUtil.generateCramMD5HexClientResponse,1
Risky cryptographic hashing function,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/store/MessageStoreTestCase.java,org.apache.qpid.server.store.MessageStoreTestCase$#1.<instance_field_initializations>(),1
Risky cryptographic hashing function,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/sasl/crammd5/CramMd5NegotiatorTest.java,CramMd5NegotiatorTest.base64Password,1
Risky cryptographic hashing function,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/sasl/SaslUtil.java,SaslUtil.toMD5Hashed,1
Risky cryptographic function,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/encryption/AESKeyFileEncrypterTest.java,AESKeyFileEncrypterTest.testCreationFailsOnInvalidSecret,1
Risky cryptographic SSL protocol,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/transport/SNITest.java,SNITest.performTest,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.prepareFileForSearchTest,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/src/test/java/org/apache/qpid/server/security/auth/database/AbstractPasswordFilePrincipalDatabaseTest.java,AbstractPasswordFilePrincipalDatabaseTest.createPasswordFile,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/SimpleQueueEntryImplTest.java,SimpleQueueEntryImplTest.getQueueEntryImpl,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/StandardQueueEntryListTest.java,StandardQueueEntryListTest.createServerMessage,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/streams/CompositeInputStreamTest.java,CompositeInputStreamTest.testAvailable_MultipleStreams,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/QueueMessageRecoveryTest.java,QueueMessageRecoveryTest.createMockMessage,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/FlowToDiskOverflowPolicyHandlerTest.java,FlowToDiskOverflowPolicyHandlerTest.createMessage,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/streams/CompositeInputStreamTest.java,CompositeInputStreamTest.testReadByteByByte_MultipleStreams,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/SortedQueueEntryListTest.java,SortedQueueEntryListTest.generateTestMessage,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.testOpenFileOrDefaultResourceOpensFileOnClasspath,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/security/auth/database/Base64MD5PasswordFilePrincipalDatabaseTest.java,Base64MD5PasswordFilePrincipalDatabaseTest.testUpdatePasswordIsSavedToFile,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/streams/CompositeInputStreamTest.java,CompositeInputStreamTest.testReadByteArray_MultipleStreams,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/virtualhost/FlowToDiskCheckingTaskTest.java,FlowToDiskCheckingTaskTest.createMessage,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/SortedQueueEntryTest.java,SortedQueueEntryTest.getQueueEntryImpl,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/security/auth/database/Base64MD5PasswordFilePrincipalDatabaseTest.java,Base64MD5PasswordFilePrincipalDatabaseTest.testCreatePrincipalIsSavedToFile,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/PriorityQueueListTest.java,PriorityQueueListTest.testGetLeastSignificantOldestEntry,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.testOpenFileOrDefaultResourceOpensDefaultResource,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/AbstractQueueTestBase.java,AbstractQueueTestBase.testVisitWhenNodeDeletedAfterAdvance,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testUpdatePasswordIsSavedToFile,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/message/AbstractServerMessageTest.java,AbstractServerMessageTest.testReferences,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/QueueEntryImplTestBase.java,QueueEntryImplTestBase.testGetNext,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/AbstractQueueTestBase.java,AbstractQueueTestBase.createMessage,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/PriorityQueueListTest.java,PriorityQueueListTest.setUp,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.testOpenFileOrDefaultResourceOpensFileOnFileSystem,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/streams/CompositeInputStreamTest.java,CompositeInputStreamTest.testReadsMixed_SingleStream,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testCreatePrincipalIsSavedToFile,1
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/LastValueQueueListTest.java,LastValueQueueListTest.createTestServerMessage,2
Resource leak,High,Resource leaks,/src/test/java/org/apache/qpid/server/queue/QueueEntryListTestBase.java,QueueEntryListTestBase.createServerMessage,2
RV: Bad use of return value,Low,SpotBugs: Bad practice,/media/data/muse2/muse2repo_qpid_src/qpid-mutant20/qpid-test-utils/src/main/java/org/apache/qpid/test/utils/TestFileUtils.java,TestFileUtils.createTestDirectory,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/media/data/muse2/muse2repo_qpid_src/qpid-mutant20/qpid-test-utils/src/main/java/org/apache/qpid/test/utils/TestFileUtils.java,TestFileUtils.copy,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/security/auth/database/Base64MD5PasswordFilePrincipalDatabaseTest.java,Base64MD5PasswordFilePrincipalDatabaseTest.tearDown,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.testDeleteFile,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testGetUsers,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.createSubDir,2
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/security/auth/manager/PrincipalDatabaseAuthenticationManagerTest.java,PrincipalDatabaseAuthenticationManagerTest.deletePasswordFileIfExists,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testSetPasswordFileWithReadOnlyFile,2
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/transport/SNITest.java,SNITest.tearDown,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/security/auth/manager/PrincipalDatabaseAuthenticationManagerTest.java,PrincipalDatabaseAuthenticationManagerTest.testInitialiseWhenPasswordFileExists,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/util/FileHelperTest.java,FileHelperTest.testIsWritableDirectoryForFilePath,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.testNonEmptyDirectoryDelete,2
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/security/auth/manager/PlainPasswordFileAuthenticationManagerFactoryTest.java,PlainPasswordFileAuthenticationManagerFactoryTest.testPasswordFileNotFound,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testCreatePrincipal,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.testSearchFail,1
RV: Bad use of return value,Low,SpotBugs: Bad practice,/src/test/java/org/apache/qpid/server/util/FileUtilsTest.java,FileUtilsTest.testRecursiveDelete,1
