Type,Impact,Category,File,Count,Function
RV: Bad use of return value,Low,SpotBugs: Dodgy code,/BareBone_X509TrustManager.java,1,BareBone_X509TrustManager.main
Insecure SSL/TLS: bad TrustManager,High,High impact security,/BareBone_X509TrustManager.java,1,"BareBone_X509TrustManager$#1.checkServerTrusted(java.security.cert.X509Certificate[], java.lang.String)"
Insecure SSL/TLS: bad TrustManager,High,High impact security,/BareBone_X509TrustManager.java,1,"BareBone_X509TrustManager$#1.checkClientTrusted(java.security.cert.X509Certificate[], java.lang.String)"
